Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
01/04/2019,10,3,71.2,15.9,17.5,20,39,1021.5,2,8.5,7.4,3.3,1219.3
02/04/2019,11.6,4,84.1,22.9,8.1,18,44,1003.7,4.4,7,4,2,1213.8
03/04/2019,11.6,2,72.5,22.4,10.7,15,46,999,2.9,5.5,1.8,1.8,1191.2
04/04/2019,10.9,2,68,14.1,19.3,11,28,995.3,2.5,8,10,4.1,1173.2
05/04/2019,10.6,2.5,59,14.2,20.1,15,35,1003,2.1,10.5,8.6,5,1185.6
06/04/2019,7.3,6,78.5,11.7,20.6,18,52,1005.6,0.4,9,5.6,3.8,1218.5
07/04/2019,7.3,7.5,90,11.2,12.2,40,108,1008.7,0.6,9.4,3,2,1299.9
08/04/2019,8.2,8,82.1,24.9,9,42,109,1011,1.5,10.5,1.5,1.5,1309.2
09/04/2019,6.5,7,81.2,14.9,15.4,31,74,1014.1,0.5,9.4,5.1,2.5,1261.6
10/04/2019,8.5,1,61,9.8,24.5,18,40,1019.6,0.4,8,9.5,3.6,1203.9
11/04/2019,6.4,0,57.8,13.9,22.7,16,42,1026,1.4,7.2,7,2.4,1202.8
12/04/2019,5.3,0,55,16,20.9,16,49,1027,1.8,7.7,6.3,2,1207
13/04/2019,4.6,0,63,13.8,23.2,15,45,1027.5,1.8,5.8,6.6,1.8,1208.1
15/04/2019,5.5,3,58.3,19.1,12.5,35,88,1021.4,2.5,9.2,8.8,3.1,1266.4
16/04/2019,4.2,7,69,27.6,5.7,48,112,1015,2.2,11.4,2.9,1.2,1306.2
17/04/2019,3.7,7,77.6,22.6,10.3,50,115,1019,1.9,9,3.3,1.6,1321
18/04/2019,9.3,7,69.3,22.4,12.2,44,93,1023,1.4,9,7.2,2.6,1300.4
19/04/2019,9.1,7,59.2,19.4,20.1,35,83,1028,1.3,10.9,6.6,2.1,1281.7
20/04/2019,8.7,6.5,55.2,17.4,25.8,33,80,1029.9,1.2,11.8,5,2.3,1276.8
21/04/2019,10.4,5.5,52,19,30.7,36,90,1020.8,1.5,11.1,5,1.8,1283.8
22/04/2019,10,7.5,59,22.2,25,51,133,1005.7,2.4,11.2,5,2.3,1334.3
23/04/2019,9.1,8.5,66.1,25.8,14.1,37,76,997,2,12.7,3.3,1.8,1253.4
24/04/2019,9.1,9,75.4,18.7,13.8,26,55,993.6,2.1,11.6,6.6,2.5,1223.4
25/04/2019,9.1,7,74,9.9,22.5,11,22,999.3,1.7,12,9.1,3.6,1181.2
26/04/2019,9.2,7,70.9,11.9,17.6,12,25,1010,1.9,12,9.3,3.4,1190.2
27/04/2019,10,3,62.1,7.8,22.8,13,22,1009.3,1.5,10,16.5,8.7,1186.7
28/04/2019,8.5,5,66,9,21.9,10,28,1020.2,0.7,11,10.3,4.4,1195
29/04/2019,9,6.5,73.5,17.2,14.4,17,50,1026,0.9,10.8,3.5,1.7,1230.5
30/04/2019,9.5,7,66,20.3,12.4,25,62,1025,1.7,13.4,4.4,1.8,1248.5
01/05/2019,9.1,7,65.5,20.9,14.9,23,59,1018.7,1.9,13.5,3,1.5,1238
02/05/2019,3.7,7.5,71.7,16.8,15.2,14,34,1014.1,1.7,12.7,6.1,2.8,1200.3
03/05/2019,3.7,7,81,16.8,10.6,13,38,1014.8,1.6,10,3.2,1.5,1201.2
04/05/2019,2.9,2,66,8.2,20.7,11,25,1019.3,0.7,7.7,10.7,4.6,1178.8
05/05/2019,3,-0.5,56,10.1,22.3,15,38,1025.5,0.7,10,7.1,2.8,1190
06/05/2019,3,1,56.2,12.6,18.6,11,27,1022,1.1,10.5,5.3,2.2,1170.5
07/05/2019,3.7,2.5,52.1,16.5,16,16,42,1015.2,1.5,12.4,5,2.3,1185.2
08/05/2019,4.6,8,78.9,13.3,16.2,16,35,992.5,2.1,11.1,6.7,2.7,1187.1
09/05/2019,7.3,8.5,83.7,17.8,10.3,15,41,996.4,2.2,11.8,3.6,1.7,1199.3
10/05/2019,9.1,6,68.4,17.7,11.2,14,42,1009,2.3,12.2,2.6,1.4,1195.9
11/05/2019,6.4,7,73.5,15.2,17.6,16,46,1019.5,1.1,10.6,4.5,2,1219.4
12/05/2019,9.1,5,59.7,14,19.5,11,33,1036.2,0.8,12.4,4.1,1.8,1206.6
13/05/2019,9.1,5,55.6,15.5,19.5,12,30,1039.5,1.1,12,5.6,2.2,1207.1
14/05/2019,8.2,5,53,14.2,20.1,13,34,1034.4,1.2,13.7,7.1,2.6,1206.5
15/05/2019,9.1,6.5,57,15.5,20,23,56,1026.5,1,13.7,5.8,2.1,1236.2
16/05/2019,8.2,5,56.5,13.6,23.6,20,50,1019.1,0.8,13.3,6.5,2.4,1219
17/05/2019,7.3,9,81,12.8,17.6,19,50,1008.5,0.6,11.7,5.4,2.2,1225.1
18/05/2019,7.3,9,76,17,12.8,20,59,1006.5,1,13.7,2.6,1,1225.9
19/05/2019,6.7,10,73.2,16.1,14.9,22,67,1009.5,0.8,15.4,3,1.3,1239.9
20/05/2019,6.4,10,67.7,16,15.2,19,54,1012.4,0.9,16.2,5.2,2.4,1225.4
21/05/2019,7.3,6.5,54.5,15.2,19.9,14,34,1018,0.6,16.3,6.8,2.6,1195.7
22/05/2019,9.1,5,49.5,16.8,19,13,33,1019.7,2,17,3.5,1.5,1189.1
23/05/2019,10,6,44.8,17.6,19.9,14,34,1016.5,2.5,18.6,3.1,1.5,1188.5
24/05/2019,6.4,8,59.3,14.8,17.5,15,38,1017,0.7,17.5,5.3,2.1,1201.6
25/05/2019,5.7,10,58,10.6,15.8,11,27,1018,0.5,19.1,4.6,2,1182.3
26/05/2019,6.4,12.5,68,7.3,11.4,10,25,1013,0.9,18.4,4.5,1.6,1179
27/05/2019,7.3,7,61.2,8.5,13,11,25,1010.5,0.7,15.3,6.6,2.3,1168.4
28/05/2019,6.8,7,68.3,10.5,16.2,9,22,1011.6,0.6,13.3,6.4,2.5,1174.2
29/05/2019,7.3,9,81.9,12.1,11.2,12,32,1018.8,2.3,14,5,1.9,1207.5
30/05/2019,6.4,13,65.5,8.2,9.7,13,33,1021,2.2,19.6,5,1.6,1198.2
31/05/2019,5.5,11,64.9,10.3,9.1,10,25,1023.7,0.7,18.3,4,1.4,1183.9
01/06/2019,4.9,11,56.2,12.5,11.3,12,32,1020,0.7,21.5,3.8,1.8,1187.7
02/06/2019,3.7,13.5,61.3,9,16.7,13,33,1009.9,0.8,20.6,6,2.2,1189.7
03/06/2019,3.7,8,57.7,9.5,19.1,15,29,1012.4,0.7,16.9,4.5,1.6,1178.1
04/06/2019,4.3,11.5,79,15.7,12.2,17,37,1005,0.7,15.1,3.9,2,1203.4
05/06/2019,5.5,8.5,64.2,11,14.8,12,30,1006.5,2.2,15.8,3.6,1.5,1175.6
06/06/2019,2.8,5.5,54,11.7,16.4,11,26,1010.5,3.4,15.8,5.5,2.5,1165.1
07/06/2019,3.7,11.5,76.3,14.9,12.8,14,34,1002,0.9,14.3,7.9,3.5,1195.8
08/06/2019,4.6,9,68.4,6.3,16.8,10,25,1011.1,1.8,14.6,8,2.5,1178.1
09/06/2019,5.5,7,58.9,9.9,13.9,10,25,1020.4,1.7,15.8,2.8,1.4,1172.3
10/06/2019,3.7,10.5,89.2,12.6,13.6,10,27,1014.3,1.3,11.6,5.8,3.2,1202.8
11/06/2019,2.8,11,82,9.2,15.4,9,25,1011,1,13,5.3,2.1,1186.8
12/06/2019,3.7,11,87,14.5,13.1,9,28,1009.8,1.3,12.7,3.1,1.5,1194.7
13/06/2019,5.5,10,78,10.3,12.8,10,30,1005.6,1.1,13.7,6.4,2.5,1185.9
14/06/2019,5.5,10,70,10.4,17.5,10,25,1010.7,1.1,15.8,7.5,2.7,1186.2
15/06/2019,5.5,10,69.4,9.7,18.1,10,25,1013,1.2,15.6,8.5,3.5,1189.5
16/06/2019,5.5,11,73.5,6.9,16,10,25,1016.6,1.1,16,7.5,3.4,1192.5
17/06/2019,5.5,10,59,10.5,18.3,11,27,1017.6,1.1,17.5,7.6,3.4,1188.5
18/06/2019,6.4,13,74.3,18.5,9.9,15,38,1014.6,1,17,2.7,1.1,1211.5
19/06/2019,5.4,14,87,17,10.2,18,50,1007.8,1.2,16.6,2.7,1.1,1231
20/06/2019,6.4,10,65.4,11.8,10.2,11,30,1012.4,1.8,16.8,4.7,2.5,1183
21/06/2019,6.4,8.5,58.4,13.8,14.2,11,28,1019.3,1.6,18,5.4,2.6,1187.2
22/06/2019,7.3,10,53.5,12.1,15.5,12,32,1021,1.6,17.7,8.7,4.1,1195.5
23/06/2019,5.7,15,72,12.4,19.9,23,61,1017,1.3,19.3,6.7,3.4,1256.7
24/06/2019,7.3,16,72.3,19.2,11.5,26,59,1015.3,1.5,22,4.3,1.8,1256.2
25/06/2019,6.4,17.5,82,14.4,12.2,20,57,1018,0.5,19.8,5.2,2.5,1255.5
26/06/2019,3.8,14,79.7,6.5,23,13,38,1027.5,0.5,16.7,11,4.2,1237.9
27/06/2019,3.7,12,70.7,7.4,20.9,15,31,1028.3,0.8,16.6,14,6.5,1226.9
28/06/2019,4.3,13,71.2,9.8,17.1,21,42,1024.7,1.4,17.5,15.8,7.2,1245
29/06/2019,4.6,15.5,57.5,15.9,16.4,25,57,1015.5,2.2,25.8,8.1,3.5,1247
30/06/2019,3.7,12.5,60,6.4,18,11,30,1016,1.3,21.7,14.1,6.6,1201.3
Grand Total,597.1,702,6073.7,1278.3,1463.3,1627,4069,91366.4,126.8,1227.4,542.2,233.6,109306.8
